Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2,Price,Square_cat,NEW_DistrictId,Pr_m2_Sq_Cat,Pr_m2_NEW_District
14038,35,2.0,47.98156123517504,29.44275054713416,6.0,7,9.0,1969,0.089039719,1,1,33,7976,5,747.232726429839,0,11,1,184966.9307298416,4.0,31164.0,3947.093031802654,4358.274853343686
15053,41,3.0,65.68363987232782,40.04954252356545,8.0,7,9.0,1978,6.99893e-05,1,1,46,10309,1,240.0,1,16,1,300009.4500627274,6.0,29.0,3250.5061484577827,4335.433207246511
4765,53,2.0,44.947952764125,29.1976116880482,0.0,8,12.0,1968,0.049637257,1,1,34,7759,0,229.0,1,3,1,220925.90852358093,3.0,26308.0,3871.202857989866,4824.286426766954
5809,58,2.0,53.35298135561334,52.73151204863503,9.0,8,17.0,1977,0.43788524,1,1,23,5735,3,1084.0,0,5,1,175616.22721724625,5.0,253973.0,3964.6116567519857,2412.7844568048054
10783,99,1.0,39.64919195003,23.7761691108976,7.0,11,12.0,1976,0.012338886,1,1,35,5776,1,2078.0,2,4,1,150226.5316437466,2.0,12215.0,4395.3385468536935,4054.007382842377
12915,59,3.0,80.38447920267191,46.68372012823429,12.0,5,17.0,2011,0.309479124,1,1,35,7715,4,990.0,0,6,1,215898.44774214897,8.0,182593.0,3355.13466986327,3694.5583989356896
14549,154,2.0,62.2541135864025,37.16037741888674,7.0,3,5.0,1960,0.460556389,1,1,20,4386,14,1048.4495118550956,1,5,1,296021.2043771131,6.0,709257.0,3250.5061484577827,5445.4894273961245
11993,74,2.0,80.31292563185586,0.0,0.0,14,0.0,1977,0.075778755,1,1,6,1437,3,832.258064516129,0,2,1,221244.15666358557,8.0,56076.0,3355.13466986327,3251.454783305461
5172,1,2.0,64.51143730838427,0.0,1.0,9,17.0,1977,0.0071223169999999,1,1,1,264,0,228.7719298245614,0,1,1,229102.7959994131,6.0,71.0,3250.5061484577827,3248.3320615462044
8649,23,1.0,46.46140869718414,18.915552483878766,8.0,13,17.0,2014,0.075778755,1,1,6,1437,3,0.0,0,2,1,95380.22099316985,4.0,17429.0,3947.093031802654,2602.4226424886238
15370,28,2.0,46.304906773325854,27.922584447134263,6.0,8,9.0,1973,0.118537385,1,1,30,6207,1,1183.0,1,0,1,204243.55312879704,4.0,33190.0,3947.093031802654,4333.523761119305
12427,31,3.0,68.80885909839964,45.73690563942196,7.0,1,8.0,1959,0.0,1,1,23,3684,2,830.0,0,4,1,165534.5414246522,6.0,0.0,3250.5061484577827,4754.159505618782
6452,13,2.0,54.522804902937104,31.75975305618809,1.0,8,12.0,1999,0.090799103,1,1,74,19083,2,1406.0,5,15,1,229220.3726091401,5.0,11804.0,3964.6116567519857,4260.684172094455
2408,57,3.0,68.10273923286483,39.3114930561345,8.0,6,12.0,1980,0.133215333,1,1,49,11395,3,1406.0,3,4,0,252481.9083226248,6.0,75933.0,3250.5061484577827,4117.7318550754035
10953,27,1.0,53.76909713652528,52.40802696611313,1.0,5,4.0,1977,0.072157581,1,1,2,629,1,747.232726429839,0,0,0,140647.56593684404,5.0,19483.0,3964.6116567519857,2943.6087335948523
2823,85,3.0,73.6122247317727,53.89208948435271,6.0,4,9.0,1979,0.037177818,1,1,52,11217,1,2300.0,1,7,1,89084.32787608178,7.0,31601.0,3937.9920925770875,4534.282238699746
2119,27,2.0,49.360647800323534,31.993963547007414,5.0,6,5.0,1983,0.051815435,1,1,5,1227,0,747.232726429839,0,0,1,117000.381286696,4.0,13990.0,3947.093031802654,2444.754972251032
